,albid,artid,category,pid,prev_albid,prev_artid,prev_traid,prev_year,traid,userid,year
42341,0,0,0,0,3452,1710,5072,58,0,0,0
138375,1,1,0,0,0,0,0,0,1,0,58
229198,2,2,0,0,1,1,1,58,2,0,1
309912,3,3,0,0,2,2,2,1,3,0,58
769326,4,0,0,0,3,3,3,58,4,0,0
373470,5,2,0,0,4,0,4,0,5,0,2
40860,6,0,0,1,3452,1710,5072,58,6,1,3
47331,7,4,1,2,3452,1710,5072,58,7,2,58
143182,8,5,1,2,7,4,7,58,8,2,58
602596,9,6,1,2,8,5,8,58,9,2,58
233676,10,7,1,2,9,6,9,58,10,2,58
313621,11,8,1,2,10,7,10,58,11,2,4
376095,0,0,1,2,11,8,11,4,0,2,0
14340,0,0,2,3,3452,1710,5072,58,0,3,0
473754,12,9,2,3,0,0,0,0,12,3,5
111390,13,10,2,3,12,9,12,5,13,3,6
204300,14,11,2,3,13,10,13,6,14,3,1
663714,15,10,2,3,14,11,14,1,15,3,7
289084,16,12,2,3,15,10,15,7,16,3,8
748498,17,13,2,3,16,12,16,8,17,3,1
1207912,18,10,2,3,17,13,17,1,18,3,9
1667326,19,14,2,3,18,10,18,9,19,3,58
2126740,20,12,2,3,19,14,19,58,20,3,10
7326,21,15,2,4,3452,1710,5072,58,21,4,0
466740,22,16,2,4,21,15,21,0,22,4,9
926154,23,17,2,4,22,16,22,9,23,4,11
1385568,24,18,2,4,23,17,23,11,24,4,12
104627,25,19,2,4,24,18,24,12,25,4,12
198034,26,11,2,4,25,19,25,12,26,4,3
657448,27,20,2,4,26,11,26,3,27,4,12
1116862,28,21,2,4,27,20,27,12,28,4,13
1576276,29,22,2,4,28,21,28,13,29,4,0
2035690,30,23,2,4,29,22,29,0,30,4,14
2495104,31,24,2,4,30,23,30,14,31,4,15
2954518,0,0,2,4,31,24,31,15,0,4,0
3413932,32,25,2,4,0,0,0,0,32,4,16
283860,33,26,2,4,32,25,32,16,33,4,58
45406,34,27,0,5,3452,1710,5072,58,34,5,58
141329,35,28,0,5,34,27,34,58,35,5,17
231942,36,29,0,5,35,28,35,17,36,5,15
312188,37,30,0,5,36,29,36,15,37,5,58
375065,0,0,0,5,37,30,37,58,0,5,0
416665,38,31,0,5,0,0,0,0,38,5,18
439686,39,32,0,5,38,31,38,18,39,5,9
899100,40,33,0,5,39,32,39,9,40,5,7
1358514,41,34,0,5,40,33,40,7,41,5,58
450649,42,35,0,5,41,34,41,58,42,5,19
910063,43,36,0,5,42,35,42,19,43,5,58
1369477,44,37,0,5,43,36,43,58,44,5,9
455311,34,27,0,5,44,37,44,9,45,5,58
80607,45,38,2,6,3452,1710,5072,58,46,6,20
175186,46,39,2,6,45,38,46,20,47,6,5
634600,47,19,2,6,46,39,47,5,48,6,13
1094014,48,40,2,6,47,19,48,13,49,6,21
263287,49,41,2,6,48,40,49,21,50,6,22
338422,0,0,2,6,49,41,50,22,0,6,0
393717,21,15,2,6,0,0,0,0,51,6,0
853131,50,18,2,6,21,15,51,0,52,6,11
427551,51,42,2,6,50,18,52,11,53,6,21
886965,52,7,2,6,51,42,53,21,54,6,13
59439,0,0,0,7,3452,1710,5072,58,0,7,0
518853,53,43,0,7,0,0,0,0,55,7,11
978267,54,44,0,7,53,43,55,11,56,7,58
154823,55,45,0,7,54,44,56,58,57,7,13
614237,56,46,0,7,55,45,57,13,58,7,16
244454,57,47,0,7,56,46,58,16,59,7,11
322642,58,48,0,7,57,47,59,11,60,7,23
782056,59,49,0,7,58,48,60,23,61,7,10
382528,60,50,0,7,59,49,61,10,62,7,58
421042,61,51,0,7,60,50,62,58,63,7,24
441793,62,52,0,7,61,51,63,24,64,7,16
451516,63,53,0,7,62,52,64,16,65,7,7
910930,64,54,0,7,63,53,65,7,66,7,0
1370344,65,55,0,7,64,54,66,0,67,7,9
1829758,66,56,0,7,65,55,67,9,68,7,11
3803,67,45,3,8,3452,1710,5072,58,69,5,24
101218,68,57,3,8,67,45,69,24,70,5,16
194917,69,58,3,8,68,57,70,16,71,5,58
281238,70,59,3,8,69,58,71,58,72,5,13
353073,63,53,3,8,70,59,72,13,65,5,7
403803,71,60,3,8,63,53,65,7,73,5,19
433365,0,0,3,8,71,60,73,19,0,5,0
447882,72,31,3,8,0,0,0,0,74,5,18
454155,73,61,3,8,72,31,74,18,75,5,58
27204,74,62,1,9,3452,1710,5072,58,76,8,9
486618,75,16,1,9,74,62,76,9,77,8,16
946032,76,63,1,9,75,16,77,16,78,8,7
1405446,77,64,1,9,76,63,78,7,79,8,0
123807,78,58,1,9,77,64,79,0,80,8,58
583221,79,65,1,9,78,58,80,58,81,8,24
1042635,80,66,1,9,79,65,81,24,82,8,25
215748,81,67,1,9,80,66,82,25,83,8,7
675162,82,68,1,9,81,67,83,7,84,8,7
1134576,0,0,1,9,82,68,84,7,0,8,0
298653,83,69,1,9,0,0,0,0,85,8,11
758067,84,70,1,9,83,69,85,11,86,8,24
81307,85,71,2,10,3452,1710,5072,58,87,9,24
175872,86,72,2,10,85,71,87,24,88,9,15
263922,87,73,2,10,86,72,88,15,89,9,16
338960,88,74,2,10,87,73,89,16,90,9,58
394068,89,75,2,10,88,74,90,58,91,9,15
853482,90,76,2,10,89,75,91,15,92,9,24
1312896,0,0,2,10,90,76,92,24,0,9,0
427769,91,18,2,10,0,0,0,0,93,9,11
445182,92,77,2,10,91,18,93,11,94,9,58
904596,85,71,2,10,92,77,94,58,95,9,24
43422,86,72,0,11,3452,1710,5072,58,96,10,15
139424,93,78,0,11,86,72,96,15,97,10,24
598838,94,79,0,11,93,78,97,24,98,10,24
1058252,95,80,0,11,94,79,98,24,99,10,16
230174,96,81,0,11,95,80,99,16,100,10,16
689588,97,7,0,11,96,81,100,16,101,10,26
1149002,98,2,0,11,97,7,101,26,102,10,21
310739,0,0,0,11,98,2,102,21,0,10,0
374045,99,82,0,11,0,0,0,0,103,10,14
416046,100,11,0,11,99,82,103,14,104,10,3
875460,101,83,0,11,100,11,104,3,105,10,27
57568,0,0,4,12,3452,1710,5072,58,0,11,0
153040,102,72,4,12,0,0,0,0,106,11,15
612454,103,84,4,12,102,72,106,15,107,11,0
1071868,104,85,4,12,103,84,107,0,108,11,13
242807,105,86,4,12,104,85,108,13,109,11,7
321265,96,81,4,12,105,86,109,7,110,11,16
381537,106,87,4,12,96,81,110,16,111,11,12
56719,0,0,5,13,3452,1710,5072,58,0,12,0
516133,107,88,5,13,0,0,0,0,112,12,24
152222,108,89,5,13,107,88,112,24,113,12,15
242056,109,45,5,13,108,89,113,15,114,12,2
320642,53,43,5,13,109,45,114,2,115,12,12
780056,110,53,5,13,53,43,115,12,116,12,7
34242,111,90,2,14,3452,1710,5072,58,117,9,15
130587,85,71,2,14,111,90,117,15,118,9,24
221978,112,74,2,14,85,71,118,24,119,9,20
303903,0,0,2,14,112,74,119,20,0,9,0
369260,90,76,2,14,0,0,0,0,92,9,24
413252,113,10,2,14,90,76,92,24,120,9,16
872666,114,91,2,14,113,10,120,16,121,9,24
97002,115,5,2,15,3452,1710,5072,58,122,13,3
556416,116,76,2,15,115,5,122,3,123,13,24
1015830,117,92,2,15,116,76,123,24,124,13,9
191005,118,93,2,15,117,92,124,9,125,13,58
